Date,Priority Rank,Company,State or Region,Sector,Company Type,CRM Status,Signal Type,Project or Hiring Trigger,Relevant Job or Role,Why Contact,Recommended BD Approach,Contact 1 Name,Contact 1 Title,Contact 1 Email,Contact 1 Phone,Contact 1 LinkedIn,Contact 1 Verification Source,Contact 2 Name,Contact 2 Title,Contact 2 Email,Contact 2 Phone,Contact 2 LinkedIn,Contact 2 Verification Source,Contact 3 Name,Contact 3 Title,Contact 3 Email,Contact 3 Phone,Contact 3 LinkedIn,Contact 3 Verification Source,Source 1,Source 2,Source 3,Next Action,Follow Up Date,Notes
2026-07-05,1,Foundation Technologies Australia,"QLD, VIC, national project travel","Piling, ground engineering",Mid tier specialist contractor,Active client,Active recruitment,Existing Ironside PC and operator recruitment activity,"Project Coordinator, Project Manager, Site Supervisor, Site Engineer, Operators",Active relationship and repeat delivery roles align with ex ADF talent,Book workforce planning call and ask for 30 day hiring plan,,,,,,Internal Ironside working context,,,,,,,,,,,,,Internal Ironside working context,,,Call existing contact,2026-07-08,Live CRM not accessible in this run
2026-07-05,2,Symal Group,"VIC, NSW, QLD","Civil infrastructure, roads, utilities",Large mid tier contractor,Active or prospective client from Ironside working context,Active recruitment,Ironside context indicates Senior Estimator job order plus national civil growth,"Senior Estimator, Project Engineer, Site Supervisor, Commercial Manager",Existing job order signal plus strong civil footprint,Follow up current job order and ask for wider project workforce map,,,,,,Internal Ironside working context,,,,,,,,,,,,,Internal Ironside working context,https://symal.com.au,,Call hiring contact from JobAdder,2026-07-08,Do not add public contacts until verified
2026-07-05,3,Georgiou Group,"QLD, WA, NSW, VIC","Rail, roads, bridges, civil infrastructure",Large mid tier contractor,Net new prospect,Awarded project,The Wave Stage 1 design and pre construction packages,"Project Engineer, Site Engineer, Supervisor, Commercial, Rail Interface",New QLD rail packages create hiring and subcontractor demand,Approach QLD operations with rail and civil shortlist,,,,,,Public company and project reporting,,,,,,,,,,,,,https://www.couriermail.com.au/news/queensland/future-seq/crucial-contracts-locked-in-for-stage-1-of-the-wave-sunshine-coast-rail-line/news-story/bf8c98d991f56ea8fc9f339392a641f8,https://www.georgiou.com.au/,,Map QLD project contacts,2026-07-10,Direct contacts not confirmed
2026-07-05,4,Seymour Whyte,"QLD, NSW, VIC","Roads, highways, bridges",Large mid tier contractor,Prospective,Project completion and awards,Sydney Gateway award wins and ongoing road infrastructure activity,"Project Engineer, Site Engineer, Supervisor, Contract Administrator",Project completion and new awards can create redeployment and hiring gaps,Contact talent team with civil engineers and supervisors shortlist,,Talent Acquisition Team,,,,Company careers/contact page,,,,,,,,,,,,,https://seymourwhyte.com.au/sydney-gateway-celebrates-dual-national-award-wins/,https://seymourwhyte.com.au/,,Send capability intro,2026-07-10,Named decision maker not confirmed
2026-07-05,5,Duratec,"National, NT, WA, SA","Defence infrastructure, marine, remediation",Large mid tier specialist contractor,Prospective,Contract award,Darwin Ship Lift Facility subcontract,"Project Manager, Site Supervisor, Site Engineer, HSE, QA",Defence and marine work is a strong ex ADF candidate fit,Pitch defence cleared and veteran candidate network,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://www.listcorp.com/asx/dur/duratec-limited/news/68m-sub-contract-for-darwin-ship-lift-facility-project-3349266.html,https://duratec.com.au,,Contact through official channel,2026-07-10,Direct details not confirmed
2026-07-05,6,Abergeldie Complex Infrastructure,"NSW, VIC, QLD, ACT","Water, utilities, bridges, roads",Mid to large infrastructure contractor,Prospective,Awarded project,Pitt Town bypass construction to open late 2026,"Project Engineer, Supervisor, Foreman, HSE, Contract Administrator",Roads and bridge package creates delivery hiring demand,Approach NSW operations with civil shortlist,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://www.dailytelegraph.com.au/news/nsw/no-more-pitt-stop-as-100m-bypass-breaks-ground/news-story/e11eacb693ac0ca4028f07c3010573e7,https://abergeldie.com,,Contact via website,2026-07-10,Direct details not confirmed
2026-07-05,7,CMC Group,"QLD, NSW","Roads, bridges, renewable energy, mining, water, waste",Tier 2 civil contractor,Net new prospect,Active hiring,Civil Project Engineer advertised June 2026,"Project Engineer, Site Engineer, Foreman, Supervisor",Direct role signal and sector alignment,Call careers or operations with available civil engineers,,,,,,Job advert/company profile,,,,,,,,,,,,,https://www.livehire.com/careers/cmc/job/HRY98/ES6E1AY1IW/project-engineer,,,Approach CMC recruitment channel,2026-07-10,No decision maker verified
2026-07-05,8,SEE Group,"QLD, NSW","Civil infrastructure, land development, earthworks",Mid tier civil contractor,Prospective,Awarded project,The Wave Stage 1 earthworks package with McIlwain Civil Engineering,"Project Engineer, Site Supervisor, Plant, HSE",Rail enabling works likely create short term and permanent resourcing needs,Approach project operations and people team,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://www.yoursay-projects.tmr.qld.gov.au/the-wave/suppliers-and-industry,https://www.seegroup.com.au,,Research SEE Civil project leads,2026-07-10,Direct details not confirmed
2026-07-05,9,McIlwain Civil Engineering,QLD,"Civil infrastructure, rail enabling works, roads",Mid tier civil contractor,Net new prospect,Awarded project,The Wave Stage 1 earthworks package with SEE Civil,"Project Engineer, Site Engineer, Supervisor, Plant Operators",New rail enabling works create project ramp up demand,Approach QLD project delivery and HR team,,,,,,Public project page,,,,,,,,,,,,,https://www.yoursay-projects.tmr.qld.gov.au/the-wave/suppliers-and-industry,,,Find verified HR or operations contact,2026-07-10,Direct contacts not confirmed
2026-07-05,10,Pensar Infrastructure,"QLD, NSW","Water, utilities, treatment plants",Mid tier specialist contractor,Net new prospect,Project delivery,Regional water and utilities infrastructure demand,"Project Engineer, Site Supervisor, Commissioning, HSE",Water infrastructure is a strong Ironside white and blue collar fit,Pitch utilities delivery support,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://pensar.com.au,https://www.couriermail.com.au/news/queensland/rockhampton/great-keppel-island-gets-86-million-boost-for-its-future/news-story/12ce4f7d1934dd24e4da45235ee7bf6c,,Research QLD water leads,2026-07-11,Project-specific contractor details not confirmed
2026-07-05,11,BMD Group,"National, QLD","Roads, airports, land development, utilities",Large mid tier contractor,Prospective,Market labour shortage,QLD Olympic and public infrastructure workforce shortage,"Civil Engineer, Project Manager, Supervisor, Plant Operator",Large QLD pipeline faces severe labour gaps,Pitch ex ADF civil and plant talent pool,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://www.couriermail.com.au/sport/brisbane-olympics-and-paralympics-2032/brisbane-2032-olympics-55k-more-workers-needed-to-build-venues/news-story/88e9028543d9e1277ebb999d6b719695,https://www.bmd.com.au,,Contact QLD people team,2026-07-11,Direct details not confirmed
2026-07-05,12,Shadforth Civil Contractors,QLD,"Subdivisions, land development, civil works",Mid tier civil contractor,Prospective,Hiring signal,Undergraduate Civil Engineer and land development market demand,"Graduate Engineer, Site Engineer, Supervisor, Operators",Land development creates recurring hiring needs,Approach with junior engineers and veteran supervisors,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://au.indeed.com/q-tier-1-construction%2C-project-engineer-jobs.html,https://www.shadcivil.com.au,,Contact careers/team,2026-07-11,Direct details not confirmed
2026-07-05,13,Martinus Rail,National,Rail construction and maintenance,Mid tier rail specialist,Net new prospect,Project pipeline,National rail infrastructure activity including Inland Rail ecosystem,"Rail Project Engineer, Supervisor, HSE, Planner",Rail specialist likely needs delivery and safety candidates,Target rail project directors and talent team,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://infrastructurepipeline.org/,https://martinus.com.au,,Build rail contact map,2026-07-11,Direct details not confirmed
2026-07-05,14,Bielby Holdings,QLD,"Roads, earthworks, civil infrastructure",Mid tier contractor,Net new prospect,Hiring signal,Civil project engineer market demand in QLD,"Project Engineer, Site Engineer, Civil Supervisor",Civil engineering demand aligns with permanent placement capability,Approach QLD operations team,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://au.linkedin.com/jobs/civil-project-engineer-jobs,https://bielby.com.au,,Find QLD operations lead,2026-07-11,Direct details not confirmed
2026-07-05,15,Bellwether Contractors,"QLD, NSW","Project management, roads, rail, utilities",Engineering and contracting consultancy,Net new prospect,Hiring signal,Project controls and civil delivery demand,"Project Controls, Project Engineer, Contract Administrator",Project controls can open broader delivery hiring conversations,Approach directors with project controls and PM candidates,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://au.linkedin.com/jobs/civil-project-engineer-jobs,https://www.bellwethercontractors.com.au,,Contact via company page,2026-07-11,Direct details not confirmed
2026-07-05,16,Construction Sciences,National,"Materials testing, geotechnical, infrastructure consulting",Engineering testing consultancy,Net new prospect,Hiring signal,Infrastructure testing and geotechnical demand,"Geotechnical Technician, Lab Manager, Field Technician, Engineer",Testing and geotech demand suits labour hire and permanent recruitment,Pitch technical labour hire and permanent recruitment,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://au.linkedin.com/jobs/civil-project-engineer-jobs,https://www.constructionsciences.net,,Contact people team,2026-07-11,Direct details not confirmed
2026-07-05,17,WGA,National,"Civil, structural, water, industrial infrastructure",Engineering consultancy,Net new prospect,M&A growth,AtkinsRealis acquisition of WGA,"Civil Engineer, Structural Engineer, Project Manager, Water Engineer",Acquisition may trigger integration hiring and new project demand,Approach state discipline leads and talent team,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://www.adelaidenow.com.au/business/south-australia/canadas-atkinsralis-acquires-adelaidebased-consultancy-wga/news-story/19d41c6f298fe945a8e112e2b79bc36d,https://wga.com.au,,Map state leads,2026-07-11,Direct details not confirmed
2026-07-05,18,SMEC,"National, QLD","Rail, transport, water, advisory",Engineering consultancy,Prospective,Awarded project,Logan to Gold Coast Faster Rail consortium role,"Civil Engineer, Rail Engineer, Design Manager, Project Manager",Major rail programme will require design and project talent,Approach QLD rail and people leaders,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://www.reuters.com/business/acciona-acs-others-win-4-billion-railway-contract-australia-2026-02-06/,https://www.smec.com,,Contact QLD transport team,2026-07-11,Direct details not confirmed
2026-07-05,19,WSP Australia,"National, QLD","Rail, transport, bridges, civil engineering",Engineering consultancy,Prospective,Awarded project,Logan to Gold Coast Faster Rail consortium role,"Rail Engineer, Civil Engineer, Structures Engineer, Project Manager",Large consultancy hiring can suit permanent recruitment panels,Approach QLD transport and talent team,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://www.reuters.com/business/acciona-acs-others-win-4-billion-railway-contract-australia-2026-02-06/,https://www.wsp.com/en-au,,Contact transport talent team,2026-07-11,Direct details not confirmed
2026-07-05,20,Stantec,"National, NSW, QLD, NT","Water, community development, civil engineering",Engineering consultancy,Net new prospect,Active hiring,Senior Civil Engineer Water Infrastructure advertised in NSW,"Senior Civil Engineer, Civil Engineer, Water Engineer",Current water role confirms hiring demand in core infrastructure niche,Approach water and community development teams,,,,,,Official Stantec job page,,,,,,,,,,,,,https://stantec.jobs/newcastle-aus/senior-civil-engineer-water-infrastructure/5C55ADAE2BC84EEABDBEF8E2E863B5CA/job/,https://au.linkedin.com/jobs/view/senior-civil-engineer-water-infrastructure-at-stantec-4434958642,,Contact via careers,2026-07-11,No agency CVs noted on advert; use BD not candidate send
2026-07-05,21,Moffatt & Nichol,"NSW, QLD, WA","Ports, marine, coastal engineering",Engineering consultancy,Net new prospect,Sector demand,Port and marine infrastructure demand,"Maritime Engineer, Coastal Engineer, Project Manager",Marine sector aligns to Navy and defence candidate pool,Approach ports and marine discipline leads,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://www.moffattnichol.com,https://infrastructurepipeline.org/,,Find marine discipline lead,2026-07-11,Direct details not confirmed
2026-07-05,22,Freyssinet Australia,"NSW, VIC, QLD","Structures, bridges, remedial engineering",Specialist contractor,Net new prospect,Hiring signal,Structures and pre contracts market demand,"Senior Pre Contracts Engineer, Project Engineer, Site Supervisor",Specialist structures aligns to civil and defence candidate pool,Approach pre contracts and operations leaders,,Talent/Careers Team,,,,Company careers/contact page,,,,,,,,,,,,,https://au.linkedin.com/jobs/civil-project-engineer-jobs,https://www.freyssinet.com.au,,Contact via company page,2026-07-11,Direct details not confirmed
